Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
3592,3496,iexplore.exe,0x3ed2d858,52,985,1,False,2017-12-08,20:04:44.000000,UTC,N/A,Disabled
5548,736,googledrivesyn,0x3eda2030,1,17,1,False,2017-12-08,20:05:22.000000,UTC,N/A,Disabled
4872,736,BioEdit.exe,0x3edae0f8,2,73,1,False,2017-12-08,20:05:52.000000,UTC,N/A,Disabled
932,468,svchost.exe,0x3edfb4c8,15,321,0,False,2017-12-08,20:04:29.000000,UTC,N/A,Disabled
5824,736,BingDict.exe,0x3ee006b8,23,723,1,False,2017-12-08,20:05:30.000000,UTC,N/A,Disabled
5896,468,NisSrv.exe,0x3ee294e0,12,233,0,False,2017-12-08,20:05:32.000000,UTC,N/A,Disabled
5252,736,Scratch.exe,0x3ee4b370,24,402,1,False,2017-12-08,20:05:18.000000,UTC,N/A,Disabled
2768,736,PCBWiz.exe,0x3f00f990,5,92,1,False,2017-12-08,20:06:43.000000,UTC,N/A,Disabled
5784,4996,googledrivesyn,0x3f054540,1,150,1,False,2017-12-08,20:06:51.000000,UTC,N/A,Disabled
1644,468,taskhost.exe,0x3f0e3030,6,95,1,False,2017-12-08,20:06:47.000000,UTC,N/A,Disabled
5968,736,Connect.exe,0x3f46ba40,21,562,1,False,2017-12-08,20:05:35.000000,UTC,N/A,Disabled
5644,592,dllhost.exe,0x3f481d28,0,-,1,False,2017-12-08,20:07:08.000000,UTC,2017-12-08,20:07:13.000000,UTC,Disabled
1560,4780,wordpad.exe,0x3f4a7498,6,147,1,False,2017-12-08,20:06:34.000000,UTC,N/A,Disabled
6028,736,wpp.exe,0x3f4df7b8,15,635,1,False,2017-12-08,20:05:37.000000,UTC,N/A,Disabled
4688,736,Evernote.exe,0x3f4e8910,22,509,1,False,2017-12-08,20:05:56.000000,UTC,N/A,Disabled
2384,736,wpp.exe,0x3f504030,13,647,1,False,2017-12-08,20:06:20.000000,UTC,N/A,Disabled
5504,592,dllhost.exe,0x3f512470,0,-,1,False,2017-12-08,20:06:55.000000,UTC,2017-12-08,20:07:01.000000,UTC,Disabled
4168,468,svchost.exe,0x3f51d1a8,5,41,0,False,2017-12-08,20:05:45.000000,UTC,N/A,Disabled
6128,3496,iexplore.exe,0x3f5ed468,52,1099,1,False,2017-12-08,20:05:41.000000,UTC,N/A,Disabled
524,736,Free,Fire,Scre,0x3f5fb428,19,209,1,False,2017-12-08,20:06:30.000000,UTC,N/A,Disabled
2604,736,CCleaner.exe,0x3f646d28,11,261,1,False,2017-12-08,20:06:17.000000,UTC,N/A,Disabled
4060,468,sppsvc.exe,0x3f69e550,7,107,0,False,2017-12-08,20:06:40.000000,UTC,N/A,Disabled
3692,3496,iexplore.exe,0x3f6b69a0,30,652,1,False,2017-12-08,20:06:36.000000,UTC,N/A,Disabled
576,736,mspaint.exe,0x3f7a3928,8,164,1,False,2017-12-08,20:06:38.000000,UTC,N/A,Disabled
4708,736,WinRAR.exe,0x3f7b9258,5,184,1,False,2017-12-08,20:06:46.000000,UTC,N/A,Disabled
4532,2604,CCleaner.exe,0x3f7c76b8,7,119,1,False,2017-12-08,20:06:23.000000,UTC,N/A,Disabled
5100,5548,googledrivesyn,0x3ff0f370,6,302,1,False,2017-12-08,20:06:51.000000,UTC,N/A,Disabled
5680,736,mspaint.exe,0x3ff6d430,8,163,1,False,2017-12-08,20:05:25.000000,UTC,N/A,Disabled
736,1616,python.exe,0x3ffdf758,0,-,1,False,2017-12-08,20:04:32.000000,UTC,2017-12-08,20:06:51.000000,UTC,Disabled
300,1616,VBoxTray.exe,0x3ffe6a40,13,151,1,False,2017-12-08,20:04:32.000000,UTC,N/A,Disabled
