Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
3408,3980,InstallOnline_,0x85bca520,0,-,1,False,2017-12-08,20:04:57.000000,UTC,2017-12-08,20:04:58.000000,UTC,Disabled
4320,2508,ikuacc.exe,0x86151488,0,-,1,False,2017-12-08,20:05:00.000000,UTC,2017-12-08,20:05:00.000000,UTC,Disabled
4472,736,mspaint.exe,0x8504f030,8,173,1,False,2017-12-08,20:05:02.000000,UTC,N/A,Disabled
4524,468,svchost.exe,0x85032030,8,119,0,False,2017-12-08,20:05:02.000000,UTC,N/A,Disabled
4700,4676,wpscloudsvr.ex,0x85d9f030,16,385,1,False,2017-12-08,20:05:04.000000,UTC,N/A,Disabled
4896,736,TrueCafe.exe,0x85046468,9,153,1,False,2017-12-08,20:05:08.000000,UTC,N/A,Disabled
4996,736,googledrivesyn,0x8507ad28,1,17,1,False,2017-12-08,20:05:10.000000,UTC,N/A,Disabled
5060,736,Scratch.exe,0x850484a0,25,411,1,False,2017-12-08,20:05:13.000000,UTC,N/A,Disabled
5124,736,mspaint.exe,0x850aca70,9,160,1,False,2017-12-08,20:05:15.000000,UTC,N/A,Disabled
5252,736,Scratch.exe,0x8524b370,24,402,1,False,2017-12-08,20:05:18.000000,UTC,N/A,Disabled
5548,736,googledrivesyn,0x851a2030,1,17,1,False,2017-12-08,20:05:22.000000,UTC,N/A,Disabled
5680,736,mspaint.exe,0x8436d430,8,163,1,False,2017-12-08,20:05:25.000000,UTC,N/A,Disabled
5824,736,BingDict.exe,0x852006b8,23,723,1,False,2017-12-08,20:05:30.000000,UTC,N/A,Disabled
5896,468,NisSrv.exe,0x852294e0,12,233,0,False,2017-12-08,20:05:32.000000,UTC,N/A,Disabled
5968,736,Connect.exe,0x8486ba40,21,562,1,False,2017-12-08,20:05:35.000000,UTC,N/A,Disabled
6028,736,wpp.exe,0x848df7b8,15,635,1,False,2017-12-08,20:05:37.000000,UTC,N/A,Disabled
6128,3496,iexplore.exe,0x849ed468,52,1099,1,False,2017-12-08,20:05:41.000000,UTC,N/A,Disabled
4168,468,svchost.exe,0x8491d1a8,5,41,0,False,2017-12-08,20:05:45.000000,UTC,N/A,Disabled
4872,736,BioEdit.exe,0x851ae0f8,2,73,1,False,2017-12-08,20:05:52.000000,UTC,N/A,Disabled
4688,736,Evernote.exe,0x848e8910,22,509,1,False,2017-12-08,20:05:56.000000,UTC,N/A,Disabled
4744,736,NestTrader.exe,0x8502ca40,12,408,1,False,2017-12-08,20:06:03.000000,UTC,N/A,Disabled
4220,736,MagicPhoto.exe,0x8502ac30,1,65,1,False,2017-12-08,20:06:11.000000,UTC,N/A,Disabled
2604,736,CCleaner.exe,0x84a46d28,11,261,1,False,2017-12-08,20:06:17.000000,UTC,N/A,Disabled
2384,736,wpp.exe,0x84904030,13,647,1,False,2017-12-08,20:06:20.000000,UTC,N/A,Disabled
4532,2604,CCleaner.exe,0x84bc76b8,7,119,1,False,2017-12-08,20:06:23.000000,UTC,N/A,Disabled
524,736,Free,Fire,Scre,0x849fb428,19,209,1,False,2017-12-08,20:06:30.000000,UTC,N/A,Disabled
1560,4780,wordpad.exe,0x848a7498,6,147,1,False,2017-12-08,20:06:34.000000,UTC,N/A,Disabled
3692,3496,iexplore.exe,0x84ab69a0,30,652,1,False,2017-12-08,20:06:36.000000,UTC,N/A,Disabled
576,736,mspaint.exe,0x84ba3928,8,164,1,False,2017-12-08,20:06:38.000000,UTC,N/A,Disabled
4060,468,sppsvc.exe,0x84a9e550,7,107,0,False,2017-12-08,20:06:40.000000,UTC,N/A,Disabled
2768,736,PCBWiz.exe,0x84c0f990,5,92,1,False,2017-12-08,20:06:43.000000,UTC,N/A,Disabled
4708,736,WinRAR.exe,0x84bb9258,5,184,1,False,2017-12-08,20:06:46.000000,UTC,N/A,Disabled
1644,468,taskhost.exe,0x84ce3030,6,95,1,False,2017-12-08,20:06:47.000000,UTC,N/A,Disabled
5100,5548,googledrivesyn,0x8438f370,6,302,1,False,2017-12-08,20:06:51.000000,UTC,N/A,Disabled
5784,4996,googledrivesyn,0x84c54540,1,150,1,False,2017-12-08,20:06:51.000000,UTC,N/A,Disabled
