Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x673ad8,77,634,N/A,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
256,4,smss.exe,0x3d828708,2,29,N/A,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
2460,2436,GoogleCrashHan,0x3dc0a030,5,74,0,False,2017-12-08,22:39:38.000000,UTC,N/A,Disabled
3396,1852,Sense.exe,0x3dc0d9a8,6,139,1,False,2017-12-08,22:39:46.000000,UTC,N/A,Disabled
3112,472,wmpnetwk.exe,0x3dc7ec58,10,207,0,False,2017-12-08,22:39:43.000000,UTC,N/A,Disabled
3552,472,svchost.exe,0x3ddbdd28,8,120,0,False,2017-12-08,22:39:49.000000,UTC,N/A,Disabled
3600,1852,UltraISO.exe,0x3dded580,2,103,1,False,2017-12-08,22:39:52.000000,UTC,N/A,Disabled
3852,1852,wps.exe,0x3ddf7720,11,613,1,False,2017-12-08,22:39:57.000000,UTC,N/A,Disabled
4012,3964,wpscloudsvr.ex,0x3deab7f0,16,390,1,False,2017-12-08,22:40:00.000000,UTC,N/A,Disabled
3996,1852,googleearth.ex,0x3deabc10,30,740,1,False,2017-12-08,22:40:00.000000,UTC,N/A,Disabled
3272,472,svchost.exe,0x3defc470,0,-,0,False,2017-12-08,22:40:05.000000,UTC,2017-12-08,22:42:04.000000,UTC,Disabled
2652,472,SearchIndexer.,0x3e008b88,13,564,0,False,2017-12-08,22:39:42.000000,UTC,N/A,Disabled
596,472,svchost.exe,0x3e029938,11,373,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
712,472,svchost.exe,0x3e077598,9,365,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
764,472,MsMpEng.exe,0x3e097030,32,547,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
1208,472,svchost.exe,0x3e0da740,21,491,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
884,472,svchost.exe,0x3e0e5298,22,468,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
1012,472,svchost.exe,0x3e0f25b0,41,1001,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
936,472,svchost.exe,0x3e0fd310,15,317,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
1068,884,audiodg.exe,0x3e122030,8,139,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
2496,3652,iexplore.exe,0x3e12ba40,84,1497,1,False,2017-12-08,22:40:06.000000,UTC,N/A,Disabled
1396,936,dwm.exe,0x3e195860,4,86,1,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1412,1388,explorer.exe,0x3e197d28,27,715,1,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1456,472,spoolsv.exe,0x3e1b3310,14,270,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1492,472,svchost.exe,0x3e1c38f8,20,322,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1536,472,taskhost.exe,0x3e1d9d28,23,271,1,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1656,472,AlibabaProtect,0x3e206480,24,639,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1700,472,BBSvc.EXE,0x3e21b4d8,6,80,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1728,472,OfficeClickToR,0x3e231d28,20,488,0,False,2017-12-08,22:39:33.000000,UTC,N/A,Disabled
