Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x84233ad8,77,634,N/A,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
256,4,smss.exe,0x86428708,2,29,N/A,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
332,324,csrss.exe,0x85abc030,9,582,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
380,324,wininit.exe,0x85afe030,3,76,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
388,372,csrss.exe,0x85af7030,8,744,1,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
428,372,winlogon.exe,0x85b05800,4,111,1,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
472,380,services.exe,0x85bcdc30,11,243,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
488,380,lsass.exe,0x85b632d0,9,829,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
496,380,lsm.exe,0x85b57d28,10,155,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
596,472,svchost.exe,0x85c29938,11,373,0,False,2017-12-08,22:39:29.000000,UTC,N/A,Disabled
660,472,VBoxService.ex,0x85b6b700,12,116,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
712,472,svchost.exe,0x85c77598,9,365,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
764,472,MsMpEng.exe,0x85c97030,32,547,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
884,472,svchost.exe,0x85ce5298,22,468,0,False,2017-12-08,22:39:30.000000,UTC,N/A,Disabled
936,472,svchost.exe,0x85cfd310,15,317,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
976,472,svchost.exe,0x856a8488,18,362,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
1012,472,svchost.exe,0x85cf25b0,41,1001,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
1068,884,audiodg.exe,0x85d22030,8,139,0,False,2017-12-08,22:39:31.000000,UTC,N/A,Disabled
1208,472,svchost.exe,0x85cda740,21,491,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1396,936,dwm.exe,0x85d95860,4,86,1,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1412,1388,explorer.exe,0x85d97d28,27,715,1,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1456,472,spoolsv.exe,0x85db3310,14,270,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1492,472,svchost.exe,0x85dc38f8,20,322,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1536,472,taskhost.exe,0x85dd9d28,23,271,1,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1656,472,AlibabaProtect,0x85e06480,24,639,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1700,472,BBSvc.EXE,0x85e1b4d8,6,80,0,False,2017-12-08,22:39:32.000000,UTC,N/A,Disabled
1728,472,OfficeClickToR,0x85e31d28,20,488,0,False,2017-12-08,22:39:33.000000,UTC,N/A,Disabled
1780,1412,VBoxTray.exe,0x85e62b00,13,151,1,False,2017-12-08,22:39:33.000000,UTC,N/A,Disabled
