Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
5224,3200,msedge.exe,0x8385a3fd1080,0,-,1,False,2024-09-17,22:14:16.000000,UTC,2024-09-17,22:21:47.000000,UTC,Disabled
4796,632,svchost.exe,0x8385a186b080,7,-,0,False,2024-09-17,22:15:25.000000,UTC,N/A,Disabled
3844,632,SgrmBroker.exe,0x8385a40cd340,7,-,0,False,2024-09-17,22:15:36.000000,UTC,N/A,Disabled
4848,816,MoUsoCoreWorke,0x8385a3cd2080,12,-,0,False,2024-09-17,22:15:37.000000,UTC,N/A,Disabled
5444,632,svchost.exe,0x83859fe952c0,8,-,0,False,2024-09-17,22:15:38.000000,UTC,N/A,Disabled
4680,816,ShellExperienc,0x83859cf11080,14,-,1,False,2024-09-17,22:16:55.000000,UTC,N/A,Disabled
5424,816,RuntimeBroker.,0x8385a34b9080,2,-,1,False,2024-09-17,22:16:58.000000,UTC,N/A,Disabled
2784,816,ApplicationFra,0x8385a3b8c080,1,-,1,False,2024-09-17,22:17:09.000000,UTC,N/A,Disabled
4968,632,svchost.exe,0x83859f494080,2,-,1,False,2024-09-17,22:17:16.000000,UTC,N/A,Disabled
1012,632,CredentialEnro,0x8385a3a1c080,3,-,1,False,2024-09-17,22:17:35.000000,UTC,N/A,Disabled
4064,632,svchost.exe,0x8385a159e080,3,-,0,False,2024-09-17,22:17:35.000000,UTC,N/A,Disabled
5264,816,SkypeApp.exe,0x8385a1a20080,38,-,1,False,2024-09-17,22:18:57.000000,UTC,N/A,Disabled
932,816,RuntimeBroker.,0x8385a46092c0,2,-,1,False,2024-09-17,22:18:58.000000,UTC,N/A,Disabled
6840,632,svchost.exe,0x8385a43f32c0,1,-,1,False,2024-09-17,22:19:26.000000,UTC,N/A,Disabled
2904,816,SkypeBackgroun,0x8385a1776080,4,-,1,False,2024-09-17,22:20:04.000000,UTC,N/A,Disabled
3640,632,svchost.exe,0x8385a35fa080,4,-,0,False,2024-09-17,22:20:09.000000,UTC,N/A,Disabled
5840,632,svchost.exe,0x83859cf4a080,4,-,0,False,2024-09-17,22:22:00.000000,UTC,N/A,Disabled
6868,816,SearchApp.exe,0x8385a3c59080,24,-,1,False,2024-09-17,22:25:38.000000,UTC,N/A,Disabled
5632,424,taskhostw.exe,0x8385a4a14340,4,-,1,False,2024-09-17,22:28:47.000000,UTC,N/A,Disabled
3576,632,TrustedInstall,0x8385a1698080,5,-,0,False,2024-09-17,22:40:55.000000,UTC,N/A,Disabled
5028,4848,wuauclt.exe,0x8385a2aca080,5,-,0,False,2024-09-17,22:41:30.000000,UTC,N/A,Disabled
376,816,TiWorker.exe,0x8385a2bf7080,3,-,0,False,2024-09-17,22:42:14.000000,UTC,N/A,Disabled
4312,632,NisSrv.exe,0x8385a11e8080,6,-,0,False,2024-09-17,22:54:53.000000,UTC,N/A,Disabled
5112,7316,FTK,Imager.exe,0x8385a5be70c0,14,-,1,False,2024-09-17,22:57:39.000000,UTC,N/A,Disabled
3596,7876,cmd.exe,0x8385a61e2080,0,-,1,True,2024-09-17,22:57:53.000000,UTC,2024-09-17,22:59:10.000000,UTC,Disabled
3036,7964,cmd.exe,0x8385a4790080,0,-,1,True,2024-09-17,22:58:10.000000,UTC,2024-09-17,22:59:10.000000,UTC,Disabled
8176,632,svchost.exe,0x8385a60d5200,4,-,0,False,2024-09-17,22:58:20.000000,UTC,N/A,Disabled
4316,2796,msedge.exe,0x8385a6cd7080,47,-,1,False,2024-09-17,22:58:59.000000,UTC,N/A,Disabled
3400,4316,msedge.exe,0x8385a11ed080,8,-,1,False,2024-09-17,22:59:00.000000,UTC,N/A,Disabled
4552,4316,msedge.exe,0x8385a2bf3080,15,-,1,False,2024-09-17,22:59:01.000000,UTC,N/A,Disabled
5900,4316,msedge.exe,0x8385a4b8e080,17,-,1,False,2024-09-17,22:59:02.000000,UTC,N/A,Disabled
6320,4316,msedge.exe,0x8385a67ef080,8,-,1,False,2024-09-17,22:59:03.000000,UTC,N/A,Disabled
184,2652,SearchProtocol,0x8385a61e70c0,6,-,0,False,2024-09-17,23:03:10.000000,UTC,N/A,Disabled
8276,816,smartscreen.ex,0x8385a54c8080,1,-,1,False,2024-09-17,23:03:11.000000,UTC,N/A,Disabled
