Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4696,848,chrome.exe,0x850316a8,15,220,1,False,2017-12-08,21:13:31.000000,UTC,N/A,Disabled
4708,4596,wpscloudsvr.ex,0x850b68f0,18,388,1,False,2017-12-08,21:13:31.000000,UTC,N/A,Disabled
4776,468,NisSrv.exe,0x85d3f030,12,233,0,False,2017-12-08,21:13:32.000000,UTC,N/A,Disabled
5392,2188,ytbrowser.exe,0x85020950,29,514,1,False,2017-12-08,21:13:47.000000,UTC,N/A,Disabled
5444,3232,FoxitReaderUpd,0x848671d0,0,-,1,False,2017-12-08,21:13:48.000000,UTC,2017-12-08,21:13:51.000000,UTC,Disabled
5512,324,regedit.exe,0x84866d28,2,67,1,False,2017-12-08,21:13:48.000000,UTC,N/A,Disabled
5800,324,Evernote.exe,0x850f9810,4,119,1,False,2017-12-08,21:13:51.000000,UTC,N/A,Disabled
5968,468,svchost.exe,0x8624ab60,5,43,0,False,2017-12-08,21:13:54.000000,UTC,N/A,Disabled
6028,2188,YoukuMediaCent,0x850a8748,29,437,1,False,2017-12-08,21:13:55.000000,UTC,N/A,Disabled
3860,324,maltego.exe,0x864d8108,0,100,1,False,2017-12-08,21:13:59.000000,UTC,2017-12-08,21:15:10.000000,UTC,Disabled
4456,324,wps.exe,0x8482c030,18,617,1,False,2017-12-08,21:14:02.000000,UTC,N/A,Disabled
4596,2188,InstallOnline_,0x851b5030,0,-,1,False,2017-12-08,21:14:04.000000,UTC,2017-12-08,21:14:21.000000,UTC,Disabled
4880,324,googledrivesyn,0x84811d28,1,13,1,False,2017-12-08,21:14:05.000000,UTC,N/A,Disabled
2948,6028,ikuacc.exe,0x84838030,0,-,1,False,2017-12-08,21:14:08.000000,UTC,2017-12-08,21:14:20.000000,UTC,Disabled
5152,6028,ikuacc.exe,0x84883758,26,215,1,False,2017-12-08,21:14:19.000000,UTC,N/A,Disabled
5508,5392,ytbrowser.exe,0x84833c90,11,206,1,False,2017-12-08,21:14:21.000000,UTC,N/A,Disabled
5576,324,speedcrunch.ex,0x848175c0,6,108,1,False,2017-12-08,21:14:27.000000,UTC,N/A,Disabled
5976,848,chrome.exe,0x84360b18,16,246,1,False,2017-12-08,21:14:31.000000,UTC,N/A,Disabled
6040,324,mspaint.exe,0x8489d030,8,161,1,False,2017-12-08,21:14:32.000000,UTC,N/A,Disabled
4188,468,svchost.exe,0x84942d28,8,117,0,False,2017-12-08,21:14:33.000000,UTC,N/A,Disabled
4692,324,wps.exe,0x84ace030,17,629,1,False,2017-12-08,21:14:39.000000,UTC,N/A,Disabled
664,324,et.exe,0x84364030,11,447,1,False,2017-12-08,21:14:43.000000,UTC,N/A,Disabled
4912,468,sppsvc.exe,0x84840b30,6,64,0,False,2017-12-08,21:14:46.000000,UTC,N/A,Disabled
4604,848,chrome.exe,0x84b07188,15,182,1,False,2017-12-08,21:14:48.000000,UTC,N/A,Disabled
5772,848,chrome.exe,0x851d5030,16,207,1,False,2017-12-08,21:14:49.000000,UTC,N/A,Disabled
5584,324,NestTrader.exe,0x84381520,1,8,1,False,2017-12-08,21:14:51.000000,UTC,N/A,Disabled
3572,468,taskhost.exe,0x84c00030,6,94,1,False,2017-12-08,21:15:00.000000,UTC,N/A,Disabled
5032,324,PCBWiz.exe,0x843b6d28,2,78,1,False,2017-12-08,21:15:03.000000,UTC,N/A,Disabled
3540,4456,wpsupdate.exe,0x8439e488,1,0,1,False,2017-12-08,21:15:14.000000,UTC,N/A,Disabled
5932,4456,ksolaunch.exe,0x84afd030,1,0,1,False,2017-12-08,21:15:14.000000,UTC,N/A,Disabled
