Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x84233ad8,76,635,N/A,False,2017-12-08,22:45:39.000000,UTC,N/A,Disabled
252,4,smss.exe,0x85257708,2,29,N/A,False,2017-12-08,22:45:39.000000,UTC,N/A,Disabled
324,316,csrss.exe,0x85ae5960,9,648,0,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
372,316,wininit.exe,0x85ace828,3,76,0,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
384,364,csrss.exe,0x85acbc70,9,933,1,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
424,364,winlogon.exe,0x85ac1920,5,111,1,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
468,372,services.exe,0x851c6a38,13,240,0,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
484,372,lsass.exe,0x85a43980,8,845,0,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
492,372,lsm.exe,0x85a95218,11,165,0,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
596,468,svchost.exe,0x8533ab08,13,376,0,False,2017-12-08,22:45:40.000000,UTC,N/A,Disabled
656,468,VBoxService.ex,0x85b866e8,12,118,0,False,2017-12-08,22:45:41.000000,UTC,N/A,Disabled
708,468,svchost.exe,0x868cfd28,14,354,0,False,2017-12-08,22:45:43.000000,UTC,N/A,Disabled
756,468,MsMpEng.exe,0x86519bb0,36,592,0,False,2017-12-08,22:45:43.000000,UTC,N/A,Disabled
884,468,svchost.exe,0x85aa4648,24,476,0,False,2017-12-08,22:45:43.000000,UTC,N/A,Disabled
932,468,svchost.exe,0x85aa32f0,16,314,0,False,2017-12-08,22:45:43.000000,UTC,N/A,Disabled
972,468,svchost.exe,0x850d8a58,41,558,0,False,2017-12-08,22:45:44.000000,UTC,N/A,Disabled
1016,468,svchost.exe,0x852a0308,40,1005,0,False,2017-12-08,22:45:44.000000,UTC,N/A,Disabled
1064,884,audiodg.exe,0x85475c80,8,142,0,False,2017-12-08,22:45:44.000000,UTC,N/A,Disabled
1164,468,svchost.exe,0x85ce4630,20,492,0,False,2017-12-08,22:45:44.000000,UTC,N/A,Disabled
1360,468,spoolsv.exe,0x85dbfa60,14,272,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1388,468,svchost.exe,0x85dcb548,23,329,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1492,468,AlibabaProtect,0x85e067f0,25,648,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1532,468,taskhost.exe,0x85e10d28,16,251,1,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1572,1016,taskeng.exe,0x85e1c348,6,80,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1596,468,BBSvc.EXE,0x85e1e0d8,6,80,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1624,468,OfficeClickToR,0x85e44628,21,492,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1676,932,dwm.exe,0x85e5b4d8,7,88,1,False,2017-12-08,22:45:46.000000,UTC,N/A,Disabled
1700,1652,explorer.exe,0x85e65d28,33,832,1,False,2017-12-08,22:45:46.000000,UTC,N/A,Disabled
1792,468,svchost.exe,0x85e6fd28,14,329,0,False,2017-12-08,22:45:46.000000,UTC,N/A,Disabled
1840,468,DictUpdater.ex,0x85eaad28,5,91,0,False,2017-12-08,22:45:46.000000,UTC,N/A,Disabled
1960,468,svchost.exe,0x85edfa40,29,303,0,False,2017-12-08,22:45:47.000000,UTC,N/A,Disabled
2036,468,FoxitConnected,0x85eee928,15,348,0,False,2017-12-08,22:45:47.000000,UTC,N/A,Disabled
456,1700,VBoxTray.exe,0x842e7918,13,150,1,False,2017-12-08,22:45:47.000000,UTC,N/A,Disabled
704,1700,python.exe,0x85f15c70,0,-,1,False,2017-12-08,22:45:47.000000,UTC,2017-12-08,22:48:20.000000,UTC,Disabled
1132,384,conhost.exe,0x85f3a030,0,-,1,False,2017-12-08,22:45:47.000000,UTC,2017-12-08,22:48:25.000000,UTC,Disabled
2224,596,WmiPrvSE.exe,0x85c67b38,7,144,0,False,2017-12-08,22:45:49.000000,UTC,N/A,Disabled
2560,2532,GoogleCrashHan,0x86064030,5,73,0,False,2017-12-08,22:45:52.000000,UTC,N/A,Disabled
2724,468,svchost.exe,0x86074530,5,91,0,False,2017-12-08,22:45:53.000000,UTC,N/A,Disabled
2884,468,SearchIndexer.,0x85e3e030,15,570,0,False,2017-12-08,22:45:53.000000,UTC,N/A,Disabled
3012,468,wmpnetwk.exe,0x86108d28,10,208,0,False,2017-12-08,22:45:54.000000,UTC,N/A,Disabled
3096,2884,SearchProtocol,0x86119a00,7,311,0,False,2017-12-08,22:45:54.000000,UTC,N/A,Disabled
3116,2884,SearchFilterHo,0x85f8c198,4,85,0,False,2017-12-08,22:45:54.000000,UTC,N/A,Disabled
3436,704,printui.exe,0x86151d28,2,64,1,False,2017-12-08,22:45:58.000000,UTC,N/A,Disabled
3480,704,FoxitReader.ex,0x8603ed28,26,583,1,False,2017-12-08,22:46:01.000000,UTC,N/A,Disabled
3692,704,CCleaner.exe,0x854c2bd8,8,239,1,False,2017-12-08,22:46:03.000000,UTC,N/A,Disabled
3736,3692,CCleaner.exe,0x85e5c030,5,115,1,False,2017-12-08,22:46:03.000000,UTC,N/A,Disabled
3856,704,speedcrunch.ex,0x862fad28,4,104,1,False,2017-12-08,22:46:07.000000,UTC,N/A,Disabled
3888,3480,FoxitReaderUpd,0x86270d28,0,-,1,False,2017-12-08,22:46:07.000000,UTC,2017-12-08,22:46:23.000000,UTC,Disabled
