Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x673ad8,76,635,N/A,False,2017-12-08,22:45:39.000000,UTC,N/A,Disabled
708,468,svchost.exe,0x3d4cfd28,14,354,0,False,2017-12-08,22:45:43.000000,UTC,N/A,Disabled
756,468,MsMpEng.exe,0x3d919bb0,36,592,0,False,2017-12-08,22:45:43.000000,UTC,N/A,Disabled
5776,704,thinkorswim.ex,0x3dc1c3e8,31,403,1,False,2017-12-08,22:47:16.000000,UTC,N/A,Disabled
3480,704,FoxitReader.ex,0x3dc3ed28,26,583,1,False,2017-12-08,22:46:01.000000,UTC,N/A,Disabled
2560,2532,GoogleCrashHan,0x3dc64030,5,73,0,False,2017-12-08,22:45:52.000000,UTC,N/A,Disabled
2724,468,svchost.exe,0x3dc74530,5,91,0,False,2017-12-08,22:45:53.000000,UTC,N/A,Disabled
3960,704,Solve,Elec.exe,0x3dc78030,2,98,1,False,2017-12-08,22:46:35.000000,UTC,N/A,Disabled
3012,468,wmpnetwk.exe,0x3dd08d28,10,208,0,False,2017-12-08,22:45:54.000000,UTC,N/A,Disabled
3096,2884,SearchProtocol,0x3dd19a00,7,311,0,False,2017-12-08,22:45:54.000000,UTC,N/A,Disabled
4836,704,SimSolar.exe,0x3dd25688,2,46,1,False,2017-12-08,22:46:46.000000,UTC,N/A,Disabled
3436,704,printui.exe,0x3dd51d28,2,64,1,False,2017-12-08,22:45:58.000000,UTC,N/A,Disabled
5960,596,dllhost.exe,0x3dd5f748,0,-,1,False,2017-12-08,22:48:06.000000,UTC,2017-12-08,22:48:14.000000,UTC,Disabled
3964,704,iexplore.exe,0x3dd7e480,26,588,1,False,2017-12-08,22:46:09.000000,UTC,N/A,Disabled
3888,3480,FoxitReaderUpd,0x3de70d28,0,-,1,False,2017-12-08,22:46:07.000000,UTC,2017-12-08,22:46:23.000000,UTC,Disabled
1644,468,svchost.exe,0x3dee6d28,9,111,0,False,2017-12-08,22:46:12.000000,UTC,N/A,Disabled
3856,704,speedcrunch.ex,0x3defad28,4,104,1,False,2017-12-08,22:46:07.000000,UTC,N/A,Disabled
4036,3964,iexplore.exe,0x3df20ac0,36,946,1,False,2017-12-08,22:46:10.000000,UTC,N/A,Disabled
852,704,mspaint.exe,0x3df45c98,8,157,1,False,2017-12-08,22:46:12.000000,UTC,N/A,Disabled
2444,704,Connect.exe,0x3df51d28,19,539,1,False,2017-12-08,22:46:14.000000,UTC,N/A,Disabled
4156,704,Skype.exe,0x3e045858,72,1234,1,False,2017-12-08,22:46:37.000000,UTC,N/A,Disabled
2224,596,WmiPrvSE.exe,0x3e067b38,7,144,0,False,2017-12-08,22:45:49.000000,UTC,N/A,Disabled
1164,468,svchost.exe,0x3e0e4630,20,492,0,False,2017-12-08,22:45:44.000000,UTC,N/A,Disabled
2912,3964,iexplore.exe,0x3e0e5560,31,703,1,False,2017-12-08,22:46:16.000000,UTC,N/A,Disabled
1360,468,spoolsv.exe,0x3e1bfa60,14,272,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
2476,704,wpp.exe,0x3e1c4a40,15,635,1,False,2017-12-08,22:46:32.000000,UTC,N/A,Disabled
1388,468,svchost.exe,0x3e1cb548,23,329,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
4416,2320,Spotify.exe,0x3e1f5030,34,260,1,False,2017-12-08,22:46:40.000000,UTC,N/A,Disabled
1492,468,AlibabaProtect,0x3e2067f0,25,648,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1532,468,taskhost.exe,0x3e210d28,16,251,1,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1572,1016,taskeng.exe,0x3e21c348,6,80,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
1596,468,BBSvc.EXE,0x3e21e0d8,6,80,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
2884,468,SearchIndexer.,0x3e23e030,15,570,0,False,2017-12-08,22:45:53.000000,UTC,N/A,Disabled
1624,468,OfficeClickToR,0x3e244628,21,492,0,False,2017-12-08,22:45:45.000000,UTC,N/A,Disabled
4332,2320,Spotify.exe,0x3e24ad28,26,128,1,False,2017-12-08,22:48:27.000000,UTC,N/A,Disabled
